arm,load_kg,intervention,stage_a_pass,qualified,upright,posture_joint_error_onset,posture_gross_onset,guard_withdrawal_onset,capture_departure_onset,capture_departure_hull_onset,support_loss_onset,drive_high_onset,drive_saturation_onset,saddle_linear_limit_onset,min_hull_capture_margin_m,max_load_bearing_demand,max_saddle_linear_occupancy,stage_a_summary
A0,25,production,true,true,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107789,0.0444471,0.104153,load=25 measured=500 settlePelvis=0.9777 minPelvis=0.9777 maxTrunk=0.1458 capture=0.1078 comSpeed=0.0054 posture=4.031 limit=0.017 guard=0.983 ankle=7.009 saddle=0.0052 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=True
A0,60,production,false,false,true,47,NA,21,NA,NA,NA,NA,NA,NA,0.0916006,0.110272,0.242597,load=60 measured=500 settlePelvis=0.9702 minPelvis=0.9702 maxTrunk=0.3243 capture=0.0917 comSpeed=0.0104 posture=12.173 limit=0.135 guard=0.910 ankle=2.352 saddle=0.0121 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=False
A0,140,production,false,false,false,22,51,14,76,76,NA,93,NA,192,-1.66761,0.512673,0.992316,load=140 measured=500 settlePelvis=0.9364 minPelvis=0.0921 maxTrunk=1.6029 capture=-1.6666 comSpeed=2.4074 posture=47.356 limit=1.000 guard=0.000 ankle=15.000 saddle=0.0496 contacts=6 sat=0.000 supportLost=False saddleUnstable=False upright=False pass=False
A0,170,production,false,false,false,1,45,14,73,73,192,68,NA,176,-1.65644,0.529033,0.990016,load=170 measured=500 settlePelvis=0.9143 minPelvis=0.1005 maxTrunk=1.8672 capture=-1.6561 comSpeed=2.5029 posture=48.955 limit=1.000 guard=0.000 ankle=15.000 saddle=0.0495 contacts=0 sat=0.000 supportLost=True saddleUnstable=False upright=False pass=False
A0,300,production,false,false,false,1,34,14,63,63,139,46,NA,18,-1.2703,0.570064,1.08593,load=300 measured=500 settlePelvis=0.7262 minPelvis=0.0995 maxTrunk=2.9159 capture=-1.2699 comSpeed=2.2683 posture=75.834 limit=1.000 guard=0.000 ankle=15.000 saddle=0.0543 contacts=0 sat=0.002 supportLost=True saddleUnstable=False upright=False pass=False
G1,25,balance.posture_guard_false,true,true,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10756,0.0453735,0.104168,load=25 measured=500 settlePelvis=0.9777 minPelvis=0.9777 maxTrunk=0.1454 capture=0.1076 comSpeed=0.0053 posture=4.021 limit=0.017 guard=1.000 ankle=7.166 saddle=0.0052 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=True
G1,60,balance.posture_guard_false,false,false,true,48,NA,NA,NA,NA,NA,NA,NA,NA,0.0916606,0.110418,0.242685,load=60 measured=500 settlePelvis=0.9702 minPelvis=0.9702 maxTrunk=0.3250 capture=0.0917 comSpeed=0.0104 posture=12.193 limit=0.135 guard=1.000 ankle=2.350 saddle=0.0121 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=False
G1,140,balance.posture_guard_false,false,false,false,22,53,NA,100,100,NA,124,NA,225,-1.63463,0.513355,0.993677,load=140 measured=500 settlePelvis=0.9140 minPelvis=0.1001 maxTrunk=1.5967 capture=-1.6337 comSpeed=2.3322 posture=48.010 limit=1.000 guard=1.000 ankle=15.000 saddle=0.0497 contacts=7 sat=0.000 supportLost=False saddleUnstable=False upright=False pass=False
G1,170,balance.posture_guard_false,false,false,false,1,45,NA,85,85,210,108,NA,195,-1.62366,0.535395,0.998718,load=170 measured=500 settlePelvis=0.8901 minPelvis=0.1004 maxTrunk=1.8273 capture=-1.6231 comSpeed=2.4159 posture=49.378 limit=1.000 guard=1.000 ankle=15.000 saddle=0.0499 contacts=0 sat=0.000 supportLost=True saddleUnstable=False upright=False pass=False
G1,300,balance.posture_guard_false,false,false,false,1,33,NA,68,68,143,46,NA,18,-1.27156,0.570536,1.0722,load=300 measured=500 settlePelvis=0.7120 minPelvis=0.1004 maxTrunk=2.8855 capture=-1.2713 comSpeed=2.2247 posture=83.001 limit=1.000 guard=1.000 ankle=15.000 saddle=0.0536 contacts=0 sat=0.000 supportLost=True saddleUnstable=False upright=False pass=False
